<name>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i>
Сбербанк,09/28/16,00:00,148.12,149.34,146.71,147.18,4032200,0
Сбербанк,09/29/16,00:00,150.20,150.88,148.05,148.47,5672801,0
Сбербанк,09/30/16,00:00,147.00,147.00,144.60,145.34,5803752,0
Сбербанк,10/03/16,00:00,146.00,148.87,145.75,148.87,4799388,0
Сбербанк,10/04/16,00:00,149.10,149.12,146.21,148.10,4648655,0
Сбербанк,10/05/16,00:00,148.14,148.40,146.30,147.95,3799381,0
Сбербанк,10/06/16,00:00,148.34,149.69,147.55,148.90,3271669,0
Сбербанк,10/07/16,00:00,149.60,150.50,147.89,148.74,4944017,0
Сбербанк,10/10/16,00:00,149.33,151.30,148.36,151.27,3750966,0
Сбербанк,10/11/16,00:00,150.89,152.44,150.51,151.30,4638724,0
Сбербанк,10/12/16,00:00,151.20,151.59,148.81,149.20,3536625,0
Сбербанк,10/13/16,00:00,148.64,148.65,145.76,146.09,5283836,0
Сбербанк,10/14/16,00:00,146.65,147.96,146.16,146.73,3712412,0
Сбербанк,10/17/16,00:00,146.50,147.13,145.54,146.46,4261624,0
Сбербанк,10/18/16,00:00,147.48,148.44,147.02,147.74,3295500,0
Сбербанк,10/19/16,00:00,148.39,149.20,148.07,148.60,3187442,0
Сбербанк,10/20/16,00:00,148.80,149.00,147.29,148.26,3426657,0
Сбербанк,10/21/16,00:00,148.01,148.84,147.48,148.42,2332981,0
Сбербанк,10/24/16,00:00,149.21,150.45,148.94,149.15,3745391,0
Сбербанк,10/25/16,00:00,149.74,152.23,149.22,151.57,3616104,0
Сбербанк,10/26/16,00:00,151.23,151.70,149.75,150.67,3595206,0
Сбербанк,10/27/16,00:00,150.57,151.62,149.30,149.30,2873920,0
Сбербанк,10/28/16,00:00,149.40,150.08,148.32,149.20,2241813,0
Сбербанк,10/31/16,00:00,148.99,148.99,147.40,147.40,2772192,0
Сбербанк,11/01/16,00:00,147.90,148.98,145.71,145.85,4416871,0
Сбербанк,11/02/16,00:00,144.51,145.64,142.30,142.36,6020567,0
Сбербанк,11/03/16,00:00,142.80,143.66,141.60,142.75,4034134,0
Сбербанк,11/07/16,00:00,143.80,144.88,142.55,143.40,3244349,0
Сбербанк,11/08/16,00:00,144.25,146.33,143.68,146.11,3734769,0
Сбербанк,11/09/16,00:00,143.00,151.35,142.50,151.04,10239465,0
Сбербанк,11/10/16,00:00,151.88,155.57,151.84,153.36,10042642,0
Сбербанк,11/11/16,00:00,153.00,153.68,151.44,151.51,6951502,0
Сбербанк,11/14/16,00:00,152.50,152.85,149.17,150.40,4765517,0
Сбербанк,11/15/16,00:00,151.00,152.37,148.75,149.85,5051875,0
Сбербанк,11/16/16,00:00,150.90,151.88,149.18,149.94,3575962,0
Сбербанк,11/17/16,00:00,149.93,150.95,148.95,149.75,3768457,0
Сбербанк,11/18/16,00:00,149.99,150.84,149.64,150.05,2729102,0
Сбербанк,11/21/16,00:00,150.90,153.25,150.90,153.00,4003040,0
Сбербанк,11/22/16,00:00,153.85,155.68,153.64,155.00,6857205,0
Сбербанк,11/23/16,00:00,155.44,155.44,154.55,155.23,3636506,0
Сбербанк,11/24/16,00:00,155.38,161.20,155.30,161.15,6879598,0
Сбербанк,11/25/16,00:00,161.00,163.42,158.94,160.36,6914872,0
Сбербанк,11/28/16,00:00,160.01,161.12,158.43,159.40,3355138,0
Сбербанк,11/29/16,00:00,158.98,160.70,157.60,158.07,4935047,0
Сбербанк,11/30/16,00:00,158.30,160.13,157.71,158.70,6238578,0
Сбербанк,12/01/16,00:00,159.99,160.00,157.75,158.70,4438419,0
Сбербанк,12/02/16,00:00,158.45,159.94,157.10,159.40,5275579,0
Сбербанк,12/05/16,00:00,158.76,163.23,158.43,162.02,5663308,0
Сбербанк,12/06/16,00:00,161.99,162.94,159.35,159.35,4716044,0
Сбербанк,12/07/16,00:00,159.82,161.00,158.58,159.95,4691444,0
Сбербанк,12/08/16,00:00,160.70,168.98,160.67,168.98,9818785,0
Сбербанк,12/09/16,00:00,169.65,170.87,167.60,169.66,7449792,0
Сбербанк,12/12/16,00:00,172.00,178.93,171.35,175.40,11444540,0
Сбербанк,12/13/16,00:00,175.00,177.48,172.06,176.90,6458009,0
Сбербанк,12/14/16,00:00,177.00,177.87,172.37,173.70,5384871,0
Сбербанк,12/15/16,00:00,171.50,175.39,171.35,174.92,7503922,0
Сбербанк,12/16/16,00:00,175.61,177.04,173.50,173.90,5013330,0
Сбербанк,12/19/16,00:00,174.76,175.55,173.20,174.30,3421302,0
Сбербанк,12/20/16,00:00,174.17,176.86,173.03,175.90,3156347,0
Сбербанк,12/21/16,00:00,176.68,185.34,174.65,174.71,9267866,0
Сбербанк,12/22/16,00:00,174.49,175.35,170.00,170.00,6700419,0
Сбербанк,12/23/16,00:00,169.80,171.76,168.55,171.15,3735571,0
Сбербанк,12/26/16,00:00,171.30,173.20,171.15,171.97,2122120,0
Сбербанк,12/27/16,00:00,172.00,172.70,170.50,172.27,1978404,0
Сбербанк,12/28/16,00:00,173.00,173.63,170.10,170.10,3702203,0
Сбербанк,12/29/16,00:00,170.05,172.22,167.55,171.30,4966121,0
Сбербанк,12/30/16,00:00,171.70,173.25,170.56,173.25,3542700,0
Сбербанк,01/03/17,00:00,173.40,181.68,173.00,180.12,5389040,0
Сбербанк,01/04/17,00:00,178.90,179.41,174.23,175.95,4140071,0
Сбербанк,01/05/17,00:00,176.31,177.28,171.54,171.90,3509304,0
Сбербанк,01/06/17,00:00,172.40,173.75,169.50,170.69,3541559,0
Сбербанк,01/09/17,00:00,171.37,172.39,168.05,168.35,3518738,0
Сбербанк,01/10/17,00:00,168.35,172.30,167.54,171.60,5887412,0
Сбербанк,01/11/17,00:00,171.50,173.05,168.54,169.05,5277279,0
Сбербанк,01/12/17,00:00,170.00,170.65,168.02,168.27,4985494,0
Сбербанк,01/13/17,00:00,168.79,172.39,163.88,164.90,8599057,0
Сбербанк,01/16/17,00:00,165.22,166.80,164.06,164.66,3771096,0
Сбербанк,01/17/17,00:00,164.67,166.47,163.34,165.98,4596831,0
Сбербанк,01/18/17,00:00,165.90,167.80,164.31,165.24,4247990,0
Сбербанк,01/19/17,00:00,165.46,166.99,164.69,166.30,3847884,0
Сбербанк,01/20/17,00:00,166.55,168.19,165.42,167.49,3258146,0
Сбербанк,01/23/17,00:00,167.33,167.33,164.53,166.75,3645747,0
Сбербанк,01/24/17,00:00,167.37,170.70,167.24,170.25,4539786,0
Сбербанк,01/25/17,00:00,170.50,171.30,169.50,170.26,4254308,0
Сбербанк,01/26/17,00:00,170.85,174.39,169.06,173.79,5610500,0
Сбербанк,01/27/17,00:00,173.89,178.92,173.00,178.92,7112315,0
Сбербанк,01/30/17,00:00,177.50,178.00,174.24,174.60,4593572,0
Сбербанк,01/31/17,00:00,174.37,175.27,172.07,172.20,4648668,0
Сбербанк,02/01/17,00:00,172.59,174.27,171.75,173.90,4225278,0
Сбербанк,02/02/17,00:00,173.94,174.69,171.95,172.83,3106443,0
Сбербанк,02/03/17,00:00,173.03,174.19,172.27,173.80,3474486,0
Сбербанк,02/06/17,00:00,174.71,174.98,172.22,172.87,3394373,0
Сбербанк,02/07/17,00:00,173.00,174.18,171.51,173.47,3350600,0
Сбербанк,02/08/17,00:00,173.20,173.20,170.77,171.20,3331431,0
Сбербанк,02/09/17,00:00,171.91,172.67,167.84,168.80,4867466,0
Сбербанк,02/10/17,00:00,169.05,170.45,165.40,165.50,5933710,0
Сбербанк,02/13/17,00:00,166.05,167.05,163.50,164.70,5302817,0
Сбербанк,02/14/17,00:00,164.99,165.14,162.01,162.70,5446680,0
Сбербанк,02/15/17,00:00,162.27,165.57,160.00,163.50,6880853,0
Сбербанк,02/16/17,00:00,164.40,166.50,162.21,166.49,4432898,0
Сбербанк,02/17/17,00:00,166.48,167.12,164.42,165.49,3261690,0
Сбербанк,02/20/17,00:00,166.40,166.69,163.93,165.44,2698627,0
Сбербанк,02/21/17,00:00,165.11,168.38,164.80,167.00,3964988,0
Сбербанк,02/22/17,00:00,167.50,168.30,164.35,165.90,4066298,0
Сбербанк,02/24/17,00:00,166.53,168.02,165.03,165.51,2970480,0
Сбербанк,02/27/17,00:00,166.01,166.34,160.62,160.95,4194719,0
Сбербанк,02/28/17,00:00,161.05,161.19,155.70,156.00,6791929,0
Сбербанк,03/01/17,00:00,155.65,160.92,155.65,160.00,6225897,0
Сбербанк,03/02/17,00:00,161.39,164.30,160.33,163.40,6545358,0
Сбербанк,03/03/17,00:00,162.95,164.89,161.61,164.40,3824271,0
Сбербанк,03/06/17,00:00,164.50,165.99,162.00,162.00,3684509,0
Сбербанк,03/07/17,00:00,162.41,162.41,158.90,160.98,4486699,0
Сбербанк,03/09/17,00:00,159.22,160.84,155.23,156.20,6369672,0
Сбербанк,03/10/17,00:00,157.32,159.40,155.55,157.50,5129663,0
Сбербанк,03/13/17,00:00,157.49,159.87,155.86,158.92,3408737,0
Сбербанк,03/14/17,00:00,159.50,160.75,157.02,157.42,5934929,0
Сбербанк,03/15/17,00:00,158.05,159.67,156.06,156.20,4885840,0
Сбербанк,03/16/17,00:00,157.82,159.85,157.82,158.35,6832252,0
Сбербанк,03/17/17,00:00,158.55,162.85,158.17,161.15,6547009,0
Сбербанк,03/20/17,00:00,161.57,164.05,160.61,163.80,4149724,0
Сбербанк,03/21/17,00:00,164.50,165.49,162.25,162.98,3983188,0
